Mongolia,531,542,540,525,491,504,511,506,499,498,503,521,531,547,565,596,648,723,830,982,1106,1238,1366,1491,1561,1625,1649,1658,1670,1694,1638,1711
Montenegro,534,520,514,518,531,528,525,536,558,564,565,583,613,645,652,645,650,633,642,696,731,750,756,768,779,792,793,766,724,697,712,675
Morocco,10114,10469,10892,11440,11846,12364,13029,14012,14953,15916,16527,17043,17395,17981,18555,19213,20002,20986,21844,22658,23351,24012,24698,25518,26312,27073,27184,26585,25873,25754,26493,25965
Mozambique,1160,1134,1121,1111,1121,1157,1201,1253,1306,1355,1396,1390,1399,1407,1430,1466,1538,1613,1702,1787,1862,1916,1979,2027,2056,2068,2037,1988,1939,1927,1917,1839
Myanmar,11683,11769,11857,11959,12054,12163,12320,12517,12768,13028,13305,13718,14315,15003,15739,16168,16489,16645,16777,17030,17351,17863,18435,19368,20379,21652,23459,25737,28220,30519,32266,31202
Namibia,348,351,357,364,373,382,395,415,443,474,506,521,548,565,574,583,593,616,646,682,718,744,774,811,849,874,881,880,880,886,887,853
Nauru,1,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nepal,6255,6253,6235,6303,6328,6348,6353,6408,6448,6453,6438,6375,6341,6348,6386,6489,6540,6509,6432,6398,6466,7105,8389,9928,11284,12060,12276,12402,12498,12507,10838,12680
Netherlands,12902,12813,12746,13055,12691,12616,12519,12231,12001,11804,11388,10993,10681,10232,9590,9229,8842,8477,8252,8024,7757,7428,7155,6713,6216,6044,5827,5603,5432,5140,4864,5144
New Zealand,589,574,577,571,559,565,559,545,529,539,522,518,500,477,459,439,442,456,478,490,494,498,479,452,444,437,458,521,576,611,425,613
Nicaragua,383,388,368,366,358,366,380,380,388,411,421,448,483,518,540,571,545,569,587,590,580,617,658,702,726,718,744,685,667,658,691,608
Niger,3771,3764,3777,3814,3799,3854,3828,3969,4120,4253,4336,4400,4343,4380,4141,4275,3960,3903,3553,3545,3559,3783,4100,4491,4830,5075,4958,4578,4168,4021,4560,3944
Nigeria,47562,46491,45458,44841,44742,45333,46547,47891,49586,51267,52738,53331,53364,52821,52439,52161,53368,54675,56398,59100,62185,68027,78012,89256,98116,102179,98954,90976,83631,79257,80676,74957
Niue,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
North Korea,6831,6840,6864,6905,6965,6968,6955,6992,7052,7132,7252,7417,7610,7878,8177,8425,8612,8713,8790,8878,9018,9331,9778,10235,10580,10755,10446,9700,8953,8593,8604,8810
North Macedonia,2371,2392,2529,2559,2588,2671,2706,2749,2828,2826,2810,2872,2976,3020,3010,3107,3256,3346,3274,3314,3342,3342,3411,3352,3432,3475,3415,3202,3060,3032,2944,2843
Northern Mariana Islands,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,9,10,12,12,13,12,13,13,13,14
Norway,2421,2345,2295,2251,2142,2065,1971,1937,1913,1870,1793,1692,1572,1380,1212,1119,1063,1034,986,929,873,833,763,685,608,571,547,520,498,463,391,458
